Id,age,death,population,remain,expectancy,sex
1,0,0.006364,100000,76.04,76.04,m
2,1,0.000432,99364,75.52,76.52,m
3,2,0.000284,99321,74.55,76.55,m
4,3,0.000234,99292,73.58,76.58,m
5,4,0.00017,99269,72.59,76.59,m
6,5,0.000157,99252,71.6,76.6,m
7,6,0.000147,99237,70.62,76.62,m
8,7,0.000136,99222,69.63,76.63,m
9,8,0.00012,99209,68.64,76.64,m
10,9,0.000101,99197,67.64,76.64,m
11,10,0.000088,99187,66.65,76.65,m
12,11,0.000093,99178,65.66,76.66,m
13,12,0.00013,99169,64.66,76.66,m
14,13,0.000209,99156,63.67,76.67,m
15,14,0.00032,99135,62.68,76.68,m
16,15,0.000441,99103,61.7,76.7,m
17,16,0.000564,99060,60.73,76.73,m
18,17,0.000701,99004,59.76,76.76,m
19,18,0.000851,98934,58.81,76.81,m
20,19,0.001007,98850,57.86,76.86,m
21,20,0.001173,98751,56.91,76.91,m
22,21,0.001331,98635,55.98,76.98,m
23,22,0.001455,98504,55.05,77.05,m
24,23,0.001531,98360,54.13,77.13,m
25,24,0.001572,98210,53.22,77.22,m
26,25,0.001602,98055,52.3,77.3,m
27,26,0.001635,97898,51.38,77.38,m
28,27,0.001669,97738,50.47,77.47,m
29,28,0.001708,97575,49.55,77.55,m
30,29,0.001752,97408,48.63,77.63,m
31,30,0.001794,97238,47.72,77.72,m
32,31,0.001835,97063,46.8,77.8,m
33,32,0.00188,96885,45.89,77.89,m
34,33,0.00193,96703,44.97,77.97,m
35,34,0.001986,96516,44.06,78.06,m
36,35,0.002052,96325,43.15,78.15,m
37,36,0.002125,96127,42.23,78.23,m
38,37,0.002196,95923,41.32,78.32,m
39,38,0.002264,95712,40.41,78.41,m
40,39,0.002334,95495,39.5,78.5,m
41,40,0.00242,95272,38.59,78.59,m
42,41,0.00253,95042,37.69,78.69,m
43,42,0.002663,94801,36.78,78.78,m
44,43,0.002823,94549,35.88,78.88,m
45,44,0.003013,94282,34.98,78.98,m
46,45,0.003229,93998,34.08,79.08,m
47,46,0.003479,93694,33.19,79.19,m
48,47,0.00378,93369,32.3,79.3,m
49,48,0.00414,93016,31.43,79.43,m
50,49,0.004553,92631,30.55,79.55,m
51,50,0.005007,92209,29.69,79.69,m
52,51,0.005493,91747,28.84,79.84,m
53,52,0.006016,91243,27.99,79.99,m
54,53,0.006575,90694,27.16,80.16,m
55,54,0.00717,90098,26.34,80.34,m
56,55,0.007805,89452,25.52,80.52,m
57,56,0.008477,88754,24.72,80.72,m
58,57,0.009181,88001,23.93,80.93,m
59,58,0.009916,87193,23.15,81.15,m
60,59,0.010683,86329,22.37,81.37,m
61,60,0.011533,85407,21.61,81.61,m
62,61,0.012434,84422,20.85,81.85,m
63,62,0.013302,83372,20.11,82.11,m
64,63,0.014109,82263,19.37,82.37,m
65,64,0.014913,81102,18.65,82.65,m
66,65,0.015808,79893,17.92,82.92,m
67,66,0.016868,78630,17.2,83.2,m
68,67,0.018101,77303,16.49,83.49,m
69,68,0.019544,75904,15.78,83.78,m
70,69,0.021206,74421,15.09,84.09,m
71,70,0.023122,72843,14.4,84.4,m
72,71,0.025265,71158,13.73,84.73,m
73,72,0.027585,69360,13.07,85.07,m
74,73,0.03007,67447,12.43,85.43,m
75,74,0.032794,65419,11.8,85.8,m
76,75,0.035963,63274,11.18,86.18,m
77,76,0.039588,60998,10.58,86.58,m
78,77,0.043511,58583,10,87,m
79,78,0.04772,56034,9.43,87.43,m
80,79,0.052358,53360,8.88,87.88,m
81,80,0.057712,50567,8.34,88.34,m
82,81,0.063886,47648,7.82,88.82,m
83,82,0.070782,44604,7.32,89.32,m
84,83,0.078442,41447,6.84,89.84,m
85,84,0.086997,38196,6.38,90.38,m
86,85,0.096603,34873,5.94,90.94,m
87,86,0.10739,31504,5.52,91.52,m
88,87,0.119456,28121,5.12,92.12,m
89,88,0.132853,24762,4.75,92.75,m
90,89,0.147599,21472,4.4,93.4,m
91,90,0.163689,18303,4.08,94.08,m
92,91,0.181104,15307,3.78,94.78,m
93,92,0.19981,12535,3.5,95.5,m
94,93,0.219765,10030,3.25,96.25,m
95,94,0.240913,7826,3.03,97.03,m
96,95,0.261868,5941,2.83,97.83,m
97,96,0.282225,4385,2.66,98.66,m
98,97,0.301555,3147,2.51,99.51,m
99,98,0.319421,2198,2.37,100.37,m
100,99,0.335392,1496,2.25,101.25,m
101,100,0.352162,994,2.13,102.13,m
102,101,0.36977,644,2.02,103.02,m
103,102,0.388259,406,1.91,103.91,m
104,103,0.407672,248,1.81,104.81,m
105,104,0.428055,147,1.71,105.71,m
106,105,0.449458,84,1.61,106.61,m
107,106,0.471931,46,1.52,107.52,m
108,107,0.495527,24,1.43,108.43,m
109,108,0.520304,12,1.35,109.35,m
110,109,0.546319,6,1.27,110.27,m
111,110,0.573635,3,1.19,111.19,m
112,111,0.602317,1,1.11,112.11,m
113,112,0.632432,0,1.04,113.04,m
114,113,0.664054,0,0.97,113.97,m
115,114,0.697257,0,0.91,114.91,m
116,115,0.732119,0,0.84,115.84,m
117,116,0.768725,0,0.78,116.78,m
118,117,0.807162,0,0.73,117.73,m
119,118,0.84752,0,0.67,118.67,m
120,119,0.889896,0,0.62,119.62,m
121,0,0.005331,100000,80.99,80.99,f
122,1,0.000359,99467,80.43,81.43,f
123,2,0.000247,99431,79.46,81.46,f
124,3,0.000169,99407,78.48,81.48,f
125,4,0.000155,99390,77.49,81.49,f
126,5,0.000135,99375,76.5,81.5,f
127,6,0.00012,99361,75.51,81.51,f
128,7,0.000109,99349,74.52,81.52,f
129,8,0.0001,99338,73.53,81.53,f
130,9,0.000094,99328,72.54,81.54,f
131,10,0.000093,99319,71.54,81.54,f
132,11,0.000098,99310,70.55,81.55,f
133,12,0.000113,99300,69.56,81.56,f
134,13,0.00014,99289,68.56,81.56,f
135,14,0.000176,99275,67.57,81.57,f
136,15,0.000216,99258,66.58,81.58,f
137,16,0.000259,99236,65.6,81.6,f
138,17,0.000301,99211,64.62,81.62,f
139,18,0.000342,99181,63.63,81.63,f
140,19,0.000381,99147,62.66,81.66,f
141,20,0.000423,99109,61.68,81.68,f
142,21,0.000466,99067,60.71,81.71,f
143,22,0.000505,99021,59.73,81.73,f
144,23,0.000539,98971,58.76,81.76,f
145,24,0.000568,98918,57.8,81.8,f
146,25,0.000598,98861,56.83,81.83,f
147,26,0.00063,98802,55.86,81.86,f
148,27,0.000666,98740,54.9,81.9,f
149,28,0.000707,98674,53.93,81.93,f
150,29,0.000753,98605,52.97,81.97,f
151,30,0.000803,98530,52.01,82.01,f
152,31,0.000853,98451,51.05,82.05,f
153,32,0.000905,98367,50.09,82.09,f
154,33,0.000956,98278,49.14,82.14,f
155,34,0.001009,98184,48.19,82.19,f
156,35,0.001069,98085,47.23,82.23,f
157,36,0.001134,97980,46.28,82.28,f
158,37,0.001199,97869,45.34,82.34,f
159,38,0.001263,97752,44.39,82.39,f
160,39,0.001329,97628,43.45,82.45,f
161,40,0.001403,97499,42.5,82.5,f
162,41,0.001491,97362,41.56,82.56,f
